Case,Source,Metric,Value,Type,Dimensions,Comparison
1,"Ament et al., 2021",AF,25,Computational,3,GP-IGU (integrated gradient uncertainty) vs. random search
2,"Annevelink et al., 2022",AF,3,Computational,5,AutoMat-FUELS (forests with uncertainty estimates for learning sequentially) vs. random search
3,"Annevelink et al., 2022",AF,15,Computational,10,AutoMat-FUELS vs. random search
4,"Conrad et al., 2022",EF,1.6,Computational,25,"Combined AutoML frameworks (Auto-sklearn, H2O, Mljar & TPOT) vs. standard BO"
5,"Jiang et al., 2022",EF,1.2,Computational,5,Quality diversity (QD) algorithm vs. random search
6,"Jiang et al., 2022",AF,7.41,Computational,5,Quality diversity (QD) algorithm vs. random search
7,"Kavalsky et al., 2023",EF,2.5,Computational,2,RF-maximum likelihood of improvement (MLE) vs. random search (no. of target compounds found)
8,"Kavalsky et al., 2023",EF,3,Computational,2,RF-maximum likelihood of improvement (MLE) vs. random search (candidate distance to target window)
9,"Lei et al., 2021",EF,2,Computational,10,BART (Bayesian additive regression trees) & BMARS (Bayesian multivariate adaptive regression splines) vs. standard BO
10,"Lei et al., 2021",AF,8,Computational,10,BART (Bayesian additive regression trees) & BMARS (Bayesian multivariate adaptive regression splines) vs. standard BO
11,"Lookman et al., 2019",AF,2,Computational,6,GP-EI vs. RF + EI
12,"Nakayama et al., 2022",AF,1.3,Computational,1,GP-EI vs. human
13,"Bai et al., 2023",EF,2.3,Experimental,5,BO-EI vs. random search
14,"Bateni et al., 2024",AF,37.5,Experimental,9,GP-EI vs. LHS
15,"Cakan et al., 2025",AF,2.5,Experimental,3,GP-EI vs. grid
16,"Clara et al., 2025",EF,2,Experimental,4,BO-GP (batch size = 15) vs. BO-GP (batch size = 3)
17,"Duros et al., 2017",EF,9,Experimental,4,Active learning (AL) algorithm vs. human & random search (space exploration)
18,"Duros et al., 2017",AF,5,Experimental,4,AL algorithm vs. human & random search
19,"Duros et al., 2017",EF,1.2,Experimental,4,AL algorithm vs. human & random search (crystallization model quality)
20,"Epps et al., 2020",EF,3,Experimental,5,Ensemble neural network (NNE) based BO with pure expliotation (EPLT) with prior knowledge vs. NNE-UCB without prior knowledge  
21,"Fatehi et al., 2023",AF,20,Experimental,4,GP-EI & GP-UCB vs. random search
22,"Gongora et al., 2020",AF,18,Experimental,4,GP-EI vs. grid (best grid performance as reference)
23,"Gongora et al., 2020",AF,56.25,Experimental,4,GP-EI vs. grid (best BO performance within a time budget as reference)
24,"Gongora et al., 2021",AF,10,Experimental,4,GP-EI (FEA informed) vs. GP-EI (uninformative prior)
